Date,Price,Volume,Market Cap
2019-01-01,29.86045710529466,388852429.01818883,1786066932.7199204
2019-01-02,31.424784372634925,465237876.8488459,1881104866.7810907
2019-01-03,32.99077514353092,473994857.8800036,1976157605.3841653
2019-01-04,31.4427585465869,377231285.42856944,1882205079.3440168
2019-01-05,31.950440199550382,440635889.96699786,1910747435.5214384
2019-01-06,34.31080612524973,709750531.8403705,2051821126.939347
2019-01-07,38.522385483480754,1023016869.0482887,2307575892.8622446
2019-01-08,37.46959230146271,835236065.3976334,2245232405.2944818
2019-01-09,38.945026209346885,815282666.4003531,2334756964.3189545
2019-01-10,38.48154615582509,608108989.8571633,2310594500.437043
2019-01-11,33.2591045598888,757303105.833942,1996446370.8895352
2019-01-12,31.605602117615057,571309443.2987967,1891592623.5868297
2019-01-13,31.799411546875838,393141691.6829742,1908068971.5501068
2019-01-14,29.6464825452393,499281524.01884854,1778046097.7883253
2019-01-15,31.744528225743903,562737057.7518421,1908979231.600091
2019-01-16,30.851094017836648,514183004.657007,1853454693.1427057
2019-01-17,31.39381775879312,493907069.895123,1885150175.08049
2019-01-18,31.432062198443145,570099751.8867725,1887944820.258272
2019-01-19,30.76647333364199,451607702.4112822,1848213587.695275
2019-01-20,32.07146948733737,481757795.2363213,1927299685.1736026
2019-01-21,30.607873933841375,527794461.3285811,1840215499.6934283
2019-01-22,30.88171922964465,492243414.5123409,1856181735.2284088
2019-01-23,31.428248403017808,587042034.7829312,1889985650.6435437
2019-01-24,31.681310499903706,536797587.3949972,1905676769.3577325
2019-01-25,32.494779493720145,537973834.3464354,1955071159.599133
2019-01-26,32.681208867997,626331121.6008322,1965485444.246999
2019-01-27,32.884245346016115,654274481.8048247,1979499215.8165603
2019-01-28,32.32700019298897,598092946.1699609,1949289898.7684214
2019-01-29,30.932274603231345,623166702.9525105,1862848672.4224722
2019-01-30,30.83437963982086,600873010.4290403,1857853281.4183056
2019-01-31,31.778905333992693,635822290.7229637,1915782552.4220924
2019-02-01,31.333713873584678,573161631.4919705,1889887501.2565339
2019-02-02,32.83494862124658,825668586.9618798,1980404964.2817733
2019-02-03,33.77245736051733,643487838.256739,2018059788.6892412
2019-02-04,33.52757429095338,832977671.5068258,2022787884.2200608
2019-02-05,34.128248980911316,739988766.5504682,2058779141.4143443
2019-02-06,34.30563555393899,651566103.9902374,2071023920.022017
2019-02-07,32.867493947578176,742608223.2239501,1983687272.1723719
2019-02-08,33.15681381247077,671417842.9611129,2001629679.4786763
2019-02-09,43.086450091914884,1924212462.6131527,2573358550.4048934
2019-02-10,44.74502708459386,1558915786.5132985,2702465390.7103667
2019-02-11,46.79436537450063,1498459984.6934013,2826938850.704814
2019-02-12,42.92494655551792,1288370286.1642218,2593822516.433002
2019-02-13,44.08551818089902,1073431816.3164485,2668109093.825946
2019-02-14,41.63499450038653,1024297168.8071247,2513557552.825502
2019-02-15,41.38353976243018,939312113.7278279,2505929202.04432
2019-02-16,42.44203342406513,1076680990.5067089,2566035200.4972386
2019-02-17,43.52824643015089,1030700365.9298471,2633474134.0676723
2019-02-18,43.825523484049796,1040020391.1754652,2653809865.9320016
2019-02-19,47.65126137741591,1517712925.9512029,2884329649.118438
2019-02-20,47.315588461303285,1250834083.226354,2864727024.2493443
2019-02-21,51.54260189028718,1584532760.8464906,3121401274.418479
2019-02-22,48.78090255685596,1229268188.948345,2954884258.553372
2019-02-23,49.42301635491416,1119864548.5548675,2994486802.0377235
2019-02-24,51.32803960857446,1248672482.0075052,3110697934.1572638
2019-02-25,43.9458575515582,1646271545.4270165,2684239035.0534463
2019-02-26,45.43418279346875,1150891150.897132,2754820414.147575
2019-02-27,44.81267601809388,1032375499.783446,2717809772.851578
2019-02-28,45.08466227127825,959934575.117027,2741902184.1583962
2019-03-01,45.75818202163637,1107298915.731266,2776443425.2892294
2019-03-02,47.19205563496668,1005597837.8155407,2871295566.090625
2019-03-03,48.4587770926163,1073238698.1540277,2941712426.60124
2019-03-04,47.83200585279676,1058716072.4112544,2902549337.4374366
2019-03-05,45.73922459478695,1206523528.1542726,2778021500.930084
2019-03-06,52.53040022675808,2330316052.423723,3190906494.3753004
2019-03-07,55.4372168703279,2193817843.130323,3373023085.037503
2019-03-08,56.72236455345158,2619747361.492534,3448213480.2372155
2019-03-09,55.61576293958219,2021451951.0042586,3385176520.895694
2019-03-10,57.64245534763525,2265504426.0332794,3504767398.244736
2019-03-11,56.827735126747136,1838176442.5724285,3456658068.6857176
2019-03-12,54.805712521545686,1629449053.3836854,3336937517.555072
2019-03-13,56.55468767502928,1648058246.3128192,3440449573.4472594
2019-03-14,55.366790073731124,1530815502.0245721,3371962807.9732027
2019-03-15,55.90094703882981,1794055457.2595582,3402087965.673478
2019-03-16,58.480581797163325,2003002787.4453492,3558479624.289665
2019-03-17,61.19853602996477,2190920528.681418,3727696860.4643307
2019-03-18,60.477240892506366,1622789914.013782,3684717205.785776
2019-03-19,59.24226598774102,1868131658.069345,3611404517.8773136
2019-03-20,59.42554997626082,1855387312.4337149,3620718038.751114
2019-03-21,60.283074139388965,1978823764.7343483,3675806639.773616
2019-03-22,58.663993987815935,1696149037.1919734,3577667048.61081
2019-03-23,59.26735262043032,1714397231.8422291,3619593846.2872214
2019-03-24,60.91959691517127,1998143900.0316095,3717083473.353653
2019-03-25,59.79457226906968,2184116846.758784,3652089784.41949
2019-03-26,58.97261148044742,2076478181.3227775,3605244362.3185945
2019-03-27,58.58375793994187,1994421449.7467792,3577282707.181016
2019-03-28,61.46967910791568,2373176486.583705,3759056869.905752
2019-03-29,60.5086026344057,1854899666.6726115,3696440370.195734
2019-03-30,61.39798314491036,1972114085.6162717,3748941376.1172037
2019-03-31,60.41276217099159,1595426255.8637967,3692512117.2834897
2019-04-01,60.51794728823778,1754537891.4361374,3699609522.876328
2019-04-02,60.48136651020627,2126139982.7325687,3698159936.66806
2019-04-03,77.00782950070702,4290044375.1235085,4735175862.477012
2019-04-04,84.77991312512346,6126123697.387988,5237645797.68765
2019-04-05,84.68843263509658,4059158468.935144,5196657081.441135
2019-04-06,88.3169774012885,3466203996.858095,5400339143.967929
2019-04-07,92.40964391738089,3952185141.350369,5651803564.71291
2019-04-08,91.66016468606908,3064840911.030907,5611837949.302863
2019-04-09,88.95639807132419,3201257320.038252,5445432001.874108
2019-04-10,86.1417982005569,2799620292.4633865,5286221358.540671
2019-04-11,88.29742062471495,3107093025.5850415,5410998773.638332
2019-04-12,79.32923549187599,3460277996.1377993,4872844185.42068
2019-04-13,78.96172106779404,3391956445.575165,4843820683.305964
2019-04-14,78.05600050513047,2736423002.5719175,4784333326.981138
2019-04-15,83.10697356339175,2634473375.208036,5081801745.6728115
2019-04-16,78.40554723309033,2934689178.385828,4815733319.216085
2019-04-17,80.89571310035201,2142293835.4107847,4960828223.698475
2019-04-18,79.03054802091384,2187834291.25213,4855095151.90508
2019-04-19,81.95181210656543,2747706293.63363,5033824618.070715
2019-04-20,82.35504647407305,2817483632.896511,5056862615.771257
2019-04-21,81.43319474635827,2530480652.6689568,5001129393.808615
2019-04-22,77.11774366548224,3165166263.235757,4738100841.067843
2019-04-23,76.71712116890566,2869268241.4310136,4716071640.461813
2019-04-24,74.71734420038253,2925236685.482757,4586811084.5712805
2019-04-25,73.19304655592038,3489736670.145903,4495727724.665604
2019-04-26,71.5965131590153,2975232689.8076563,4394392105.198282
2019-04-27,73.27659471554352,3246322525.6258345,4534018799.999193
2019-04-28,71.89170444268132,1836591368.6642592,4423330043.761392
2019-04-29,69.31300747909283,2471784076.92526,4265635642.100771
2019-04-30,67.17771708642259,2317648462.6048994,4133113828.387978
2019-05-01,73.72560204520781,3241520316.4214244,4536380340.336982
2019-05-02,73.12887276265558,3008838689.494737,4497201610.116219
2019-05-03,73.15727704829078,2883664772.223897,4507593060.459386
2019-05-04,78.66627544523708,3617636851.383559,4846509606.663127
2019-05-05,77.54112812343494,3630523572.5277615,4781175464.921134
2019-05-06,75.55518321212672,2799282660.1717396,4659014142.012633
2019-05-07,74.64312621078929,3192221141.852416,4602389364.520868
2019-05-08,74.21684693649748,3272757952.206973,4575692969.903396
2019-05-09,74.12328214958379,2818913680.768947,4569421133.9060755
2019-05-10,73.94666112046016,2885772293.999368,4567492895.987282
2019-05-11,77.00621829806278,3502341932.1755404,4745056289.250886
2019-05-12,90.56300854804594,6785448309.644821,5727192429.384055
2019-05-13,84.46695561794898,6314155363.812181,5207608546.690098
2019-05-14,87.62886946979859,5030830734.764606,5407127229.911226
2019-05-15,91.30490119849611,5855228372.022854,5653444133.076865
2019-05-16,102.78026559213367,5720376308.187478,6349818514.922049
2019-05-17,95.56479156545804,7384362599.098629,5894281800.655532
2019-05-18,89.67761664434867,5523504208.026042,5548712327.428709
2019-05-19,87.15399364316427,3850824546.878353,5390161510.231406
2019-05-20,95.36000074497994,5224470112.300343,5909809874.362911
2019-05-21,91.39810380794313,4069379689.5001626,5652927219.75873
2019-05-22,91.37524183235016,3735104325.0332394,5658312828.363383
2019-05-23,88.21450391055005,3537957321.6289196,5460385976.639675
2019-05-24,88.83902013693573,3691120785.989397,5512359544.716504
2019-05-25,100.23668008063578,6176516509.029767,6207734913.988145
2019-05-26,102.44319381575697,5904289575.6545925,6338612525.248335
2019-05-27,111.3320966080296,6095150409.658498,6896584840.3798
2019-05-28,118.62361225773279,7592238398.229151,7377385536.226366
