Date,Price,Volume,Market Cap
2021-02-24,30.437088058545427,127439878.48508003,0.0
2021-02-25,30.437088058545427,127439878.48508003,0.0
2021-02-26,14.291429538494691,120594423.70435952,108515963.99631712
2021-02-27,16.317211987943843,114988533.02479132,137068610.41413963
2021-02-28,10.166666685478974,102176054.27884677,90898458.77430558
2021-03-01,8.417302610736169,60345147.73645555,78167683.71762876
2021-03-02,10.317206046297793,57971822.0315513,90359816.333076
2021-03-03,8.84489364744376,32789744.10940914,80026731.53345482
2021-03-04,13.56974862725998,169748557.89365458,122559390.91092384
2021-03-05,18.00066739458269,210519560.47078505,162525653.29988992
2021-03-06,18.963907985672083,240840852.7400397,170675171.87104872
2021-03-07,18.00758053691268,145515971.6694966,162068224.83221412
2021-03-08,15.900309158869138,93099698.4922222,144876080.749988
2021-03-09,15.488189592581058,122453335.55081595,138478531.1784371
2021-03-10,14.315089385528612,66916962.56537103,128234416.54380822
2021-03-11,13.938761337417063,57379728.767171845,125557222.48369686
2021-03-12,13.237412318717116,46124609.2549191,118998503.43034627
2021-03-13,12.223744433005892,59419689.92694596,110681851.66766182
2021-03-14,13.198250665217573,64526214.6216028,119832336.70582095
2021-03-15,14.01842788635671,40451476.52387513,126647166.5995419
2021-03-16,15.81696848961319,159757786.18326473,144495959.4174035
2021-03-17,16.029968890044042,81887001.44960295,144198530.69599998
2021-03-18,14.120986859934815,61351842.85211036,127620122.28222474
2021-03-19,14.347475899838171,51025469.098369464,129790548.71756361
2021-03-20,14.131791028518178,27844493.007666066,127036959.5824082
2021-03-21,14.313349799760312,33396179.598429814,128897790.6575404
2021-03-22,13.411073575261165,30006416.865320355,120414128.3206272
2021-03-23,14.284001342972491,54826214.59841783,128960455.68535013
2021-03-24,13.284955580910465,42750935.84511207,119849852.85959996
2021-03-25,11.489082656637338,38949214.01725882,104045053.89466737
2021-03-26,10.518691429028346,45312673.83303952,94429511.40646511
2021-03-27,11.11861754705811,33433495.334113818,99613434.65493636
2021-03-28,12.034746068846344,48659318.89339367,108995167.2542589
2021-03-29,12.05141545718126,40159297.2321603,447891108.9434451
2021-03-30,11.89101391353378,36803609.693779804,443625661.66595566
2021-03-31,14.440830106300371,86046710.1520372,882844822.8869748
2021-04-01,19.063054566611765,178388958.75581127,1160277646.4563384
2021-04-02,24.81100952026164,383100431.7184353,1595136459.7811348
2021-04-03,22.529385724636306,152027306.36752132,1384086483.4473324
2021-04-04,17.715275755498023,91497641.19260545,1095745079.2572694
2021-04-05,21.50381289139357,101439868.99368577,1324014421.1008708
2021-04-06,19.78535725065571,73930627.6434703,1207217852.0299907
2021-04-07,18.785848791971414,58881140.30623119,204248995.86890367
2021-04-08,17.385441997798083,70374394.51183468,191457868.66616258
2021-04-09,20.190460710875968,77812691.40135905,220412705.97538498
2021-04-10,19.39984531115665,57702798.33502325,211637244.4072559
2021-04-11,18.538294436026213,47072605.191121385,201913875.2928655
2021-04-12,18.423334163625274,31252143.832735382,201362175.23044816
2021-04-13,18.528112920949898,39877141.91214442,201079133.69395885
2021-04-14,17.639730688559933,49584875.497921675,192785107.20531484
2021-04-15,17.310196533258477,43298721.639031745,188966450.89587146
2021-04-16,18.169698282445832,64685940.46021279,197794059.0184454
2021-04-17,17.136401282185812,62761707.02040573,188901034.64530236
2021-04-18,17.141997245869707,46213348.62604622,187079466.41956878
2021-04-19,14.773672545000961,78240647.88467968,161618784.16106743
2021-04-20,13.823771915403597,52656663.40941834,151355190.6688276
2021-04-21,16.06410939269822,119517391.34769402,174384618.5656765
2021-04-22,14.533587434753732,50098554.55880162,158671394.7722814
2021-04-23,13.907012950179608,46658049.13277075,153260256.65543216
2021-04-24,13.237820545221057,60006591.608391576,142398257.9896344
2021-04-25,12.21565200028344,35941515.18480782,134112119.15752442
2021-04-26,12.099757966434156,30719054.444118198,132204235.92328429
2021-04-27,13.74509440543035,46937390.097970665,149999371.29701206
2021-04-28,14.939612926019032,40895327.99328238,191238811.23067966
2021-04-29,14.307194195604874,48724689.53587585,183426673.6019046
2021-04-30,14.508506505850255,41164934.43187592,185090192.2868777
2021-05-01,15.673832892601615,57253975.2768764,201372460.07565886
2021-05-02,14.935663927487216,38174065.00918992,191927902.06646687
